node1,node2,fidelity,entanglement
31,37,0.9999999220168034,1.5298424314124675
37,38,0.999999922016803,3.32386560882453
24,38,0.9999999220168032,3.2149636144528224
24,30,0.9999999220168045,2.4290493899195833
25,30,0.9999999220168037,1.6231995284758793
25,26,0.9999999220168032,0.9131669214017284
26,27,0.9999999220168025,0.4027526895160457
27,28,0.9999999220168037,0.14407688640725344
28,29,0.9999999220168012,0.04485775039193763
38,39,0.9999999220168052,3.171349098746343
39,40,0.9999999220168057,2.3726326098155517
40,41,0.9999999220168039,1.6165741684070625
41,42,0.9999999220168025,0.9235676055695162
42,43,0.9999999220168048,0.4053702069409567
43,44,0.9999999220168061,0.14499714957644005
44,45,0.9999999220168054,0.045144115873746164
32,37,0.9999999220168034,2.5662719941106755
32,33,0.9999999220168019,1.6929889789090646
31,34,0.999999922016803,0.5486790143391526
34,35,0.9999999220168025,0.20940167945023933
35,36,0.9999999220168014,0.06749762211121707
0,24,0.0,0.0
1,30,0.0,0.0
2,25,0.0,0.0
3,26,0.0,0.0
4,27,0.0,0.0
5,28,0.0,0.0
6,29,0.0,0.0
7,29,0.0,0.0
8,31,0.0,0.0
9,32,0.0,0.0
10,33,0.0,0.0
11,33,0.0,0.0
12,34,0.0,0.0
13,35,0.0,0.0
14,36,0.0,0.0
15,36,0.0,0.0
16,39,0.0,0.0
17,40,0.0,0.0
18,41,0.0,0.0
19,42,0.0,0.0
20,43,0.0,0.0
21,44,0.0,0.0
22,45,0.0,0.0
23,45,0.0,0.0
